id,venue,year,authors,title,entityUrl
1681,SIGMOD Record,2002,"Andrew Eisenberg, Jim Melton",SQL/XML is Making Good Progress,journals/sigmod/EisenbergM02
1682,SIGMOD Conference,2000,"Anand Deshpande, Jos� A. Blakeley",Tutorial: Data Access,conf/sigmod/BlakeleyD00
1683,VLDB,2001,"Michel Tourn, Man Abrol, John Wang, Grace Zhang, Jianchang Mao, Uma Mahadevan, Rajat Mukherjee, Prabhakar Raghavan, Neil Latarche",Navigating large-scale semi-structured data in business portals,conf/vldb/AbrolLMMMRTWZ01
1684,VLDB,2000,"Michael Eitan, Valerie Gregg, Carlo Batini, D. B. Phatak, Yeha El Atfi, Krithi Ramamritham","Social, Educational, and Governmental Change Enabled through Information Technology",conf/vldb/RamamrithamABEGP00
1685,VLDB,1994,"Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari",Implementing Lazy Database Updates for an Object Database System,conf/vldb/FerrandinaMZ94
1686,VLDB J.,2003,"Christian Convey, Sangdon Lee, Ugur �etintemel, Daniel J. Abadi, Michael Stonebraker, Mitch Cherniack, Donald Carney, Stanley B. Zdonik, Nesime Tatbul",Aurora: a new model and architecture for data stream management,journals/vldb/AbadiCCCCLSTZ03
1687,SIGMOD Record,2002,"Jan-Eike Michels, Peter M. Schwarz, Krishna G. Kulkarni, Vanja Josifovski, Jim Melton",SQL/MED - A Status Report,journals/sigmod/MeltonMJKS02
1688,SIGMOD Record,2000,H. V. Jagadish,ACM-SIGMOD Digital Review,journals/sigmod/Jagadish00
1689,SIGMOD Conference,1994,Michael J. Carey,Parallel Database Systems in the 1990's,conf/sigmod/Carey94
1690,SIGMOD Conference,2002,"Joseph M. Hellerstein, Vijayshankar Raman",Partial results for online query processing,conf/sigmod/RamanH02
1691,ACM Trans. Database Syst.,2001,"Jan Van den Bussche, Marc Andries, Jan Paredaens, Luca Cabibbo",Applying an update method to a set of receivers,journals/tods/AndriesCPB01
1692,SIGMOD Conference,1995,"Alexander Brodsky, Yoram Kornatzky",The LyriC Language: Querying Constraint Objects,conf/sigmod/BrodskyK95
1693,ACM Trans. Database Syst.,1998,"Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino",An Access Control Model Supporting Periodicity Constraints and Temporal Reasoning,journals/tods/BertinoBFS98
1694,SIGMOD Conference,2001,"Florian Krebs, Christian B�hm, Bernhard Braunm�ller, Hans-Peter Kriegel",Epsilon Grid Order: An Algorithm for the Similarity Join on Massive High-Dimensional Data,conf/sigmod/BohmBKK01
1695,SIGMOD Conference,1999,"Shankar Pal, Thomas Bergstraesser, Philip A. Bernstein, David Shutt",Versions and Workspaces in Microsoft Repository,conf/sigmod/BergstraesserBPS99
1696,SIGMOD Record,1996,"Brad Adelberg, Ben Kao, Hector Garcia-Molina",Overview of the STanford Real-time Information Processor (STRIP),journals/sigmod/AdelbergKG96
1697,SIGMOD Conference,2000,"�ystein Torbj�rnsen, Svein Erik Bratsberg",Tutorial: Designing an Ultra Highly Available DBMS,conf/sigmod/BratsbergT00
1698,SIGMOD Conference,1999,"Yannis Sismanis, Yannis Kotidis, Nick Roussopoulos",The Active MultiSync Controller of the Cubetree Storage Organization,conf/sigmod/RoussopoulosKS99
1699,SIGMOD Conference,2001,"Laura M. Haas, Ling-Ling Yan, Ronald Fagin, Ren�e J. Miller",Data-Driven Understanding and Refinement of Schema Mappings,conf/sigmod/YanMHF01
1700,SIGMOD Conference,1994,"Miron Livny, Michael J. Carey, HweeHwa Pang",Managing Memory for Real-Time Queries,conf/sigmod/PangCL94
1701,VLDB J.,2001,"Dimitrios Georgakopoulos, Ming-Chien Shan, Fabio Casati",E-Services - Guest editorial,journals/vldb/CasatiSG01
1702,SIGMOD Conference,1999,"Joel L. Wolf, Cecilia Magdalena Procopiuc, Jong Soo Park, Charu C. Aggarwal, Philip S. Yu",Fast Algorithms for Projected Clustering,conf/sigmod/AggarwalPWYP99
1703,SIGMOD Conference,2002,"Kothuri Venkata Ravi Kanth, Siva Ravada, Daniel Abugov",Quadtree and R-tree indexes in oracle spatial: a comparison using GIS data,conf/sigmod/KanthRA02
1704,SIGMOD Record,1999,"Piero Fraternali, Stefano Paraboschi, Stefano Ceri",Design Principles for Data-Intensive Web Sites,journals/sigmod/CeriFP99
1705,SIGMOD Record,1998,Asuman Dogac,Guest Editor's Introduction,journals/sigmod/Dogac98
1706,ACM Trans. Database Syst.,1994,"Marianne Winslett, Kenneth Smith, Xiaolei Qian",Formal Query Languages for Secure Relational Databases,journals/tods/WinslettSQ94
1707,SIGMOD Conference,2000,"Val Tannen, Arnaud Sahuguet, Alin Deutsch, Lucian Popa",A Chase Too Far?,conf/sigmod/PopaDST00
1708,SIGMOD Record,1994,Rafael Alonso,Trade Press News,journals/sigmod/Alonso94a
1709,SIGMOD Record,2001,"C�sar A. Galindo-Legaria, Michael J. Franklin, Leonard J. Seligman, Guy M. Lohman",SIGMOD 2001 Industry Sessions,journals/sigmod/LohmanGFS01
1710,VLDB,2000,?,Author Index,conf/vldb/X00a
1711,ACM Trans. Database Syst.,1999,"Krishnamurty Muralidhar, Rathindra Sarathy",Security of Random Data Perturbation Methods,journals/tods/MuralidharS99
1712,SIGMOD Conference,1997,"Marek Rusinkiewicz, Tomasz Ksiezyk, Richard S. Brice, Ray Shea, Vipul Kashyap, Andrzej Cichocki, Mosfeq Rashid, C. Unnikrishnan, Abdelsalam Helal, Amy Unruh, Marian H. Nodine, Jerry Fowler, Darrell Woelk, Gale Martin, Roberto J. Bayardo Jr., William Bohrer",The InfoSleuth Project,conf/sigmod/BohrerBBCFHKKMNRRSUUW97a
1713,SIGMOD Conference,1999,"P. P. S. Narayan, S. Sudarshan, S. Gogate, J. Miller, Abraham Silberschatz, C. Gupta, Jerry Baulier, M. Wilder, Henry F. Korth, Peter McIlroy, S. Haldar, S. Seshadri, Philip Bohannon, C. Wei, A. Khivesera, S. Joshi, Rajeev Rastogi, M. Nemeth",DataBlitz Storage Manager: Main Memory Database Performance for Critical Applications,conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99
1714,VLDB J.,2000,"Jens Clau�en, Christian Wiesner, Donald Kossmann, Alfons Kemper",Exploiting early sorting and early partitioning for decisionsupport query processing,journals/vldb/ClaussenKKW00
1715,VLDB,1997,"Suresh Kumar, Eng-Kee Kwang, Divyakant Agrawal",Caprera: An Activity Framework for Transaction Processing on Wide-Area Networks,conf/vldb/KumarKA97
1716,VLDB,2003,"Clement T. Yu, Hai He, Zonghuan Wu, Weiyi Meng",WISE-Integrator: An Automatic Integrator of Web Search Interfaces for E-Commerce,conf/vldb/HeMYW03
1717,ACM Trans. Database Syst.,1999,"Hanan Samet, G�sli R. Hjaltason",Distance Browsing in Spatial Databases,journals/tods/HjaltasonS99
1718,SIGMOD Conference,1994,R. G. G. Cattell,ODMG-93: A Standard for Object-Oriented DBMSs,conf/sigmod/Cattell94
1719,SIGMOD Record,2001,Marianne Winslett,"Gio Wiederhold Speaks Out on Moving into Academia in Mid-Career, How to Be an Effective Consultant, Why You Should Be a Program Manager as a Funding Agency, the Need for Ontology Algebra and Simulations, and More",journals/sigmod/Winslett01a
1720,SIGMOD Record,2002,"Guy M. Lohman, Daniel C. Zilio, Sam Lightstone",Toward Autonomic Computing with DB2 Universal Database,journals/sigmod/LightstoneLZ02
1721,SIGMOD Conference,2003,"Xueqing Gong, Kun Yue, Aoying Zhou, Zhimao Guo, Jianchang Xiao, Wenfei Fan, Hongwei Wu, Qing Wang, Shihui Zheng",TREX: DTD-Conforming XML to XML Transformations,conf/sigmod/ZhouWGGZWXYF03
1722,SIGMOD Conference,1995,"Stephen Kelley, Fr�d�ic Vincent, Nick Roussopoulos",Nearest Neighbor Queries,conf/sigmod/RoussopoulosKV95
1723,VLDB,2001,"Volker Markl, Mokhtar Kandil, Guy M. Lohman, Michael Stillger",LEO - DB2's LEarning Optimizer,conf/vldb/StillgerLMK01
1724,SIGMOD Record,1997,"Manfred A. Jeusfeld, Franz Baader, Werner Nutt",Intelligent Access to Heterogeneous Information Sources: Report on the 4th Workshop on Knowledge Representation Meets Databases,journals/sigmod/BaaderJN97
1725,VLDB J.,1995,"Antoni Oliv�, Ernest Teniente",Updating Knowledge Bases While Maintaining Their Consistency,journals/vldb/TenienteO95
1726,SIGMOD Conference,1995,"Weimin Du, Ming-Chien Shan, Umeshwar Dayal",Reducing Multidatabase Query Response Time by Tree Balancing,conf/sigmod/DuSD95
1727,SIGMOD Conference,1995,"David Hanley, Robert L. Grossman, Xiao Qin",PTool: A Light Weight Persistent Object Manager,conf/sigmod/GrossmanHQ95
1728,VLDB,1998,"S. Muthukrishnan, H. V. Jagadish, Kenneth C. Sevcik, Torsten Suel, Nick Koudas, Viswanath Poosala",Optimal Histograms with Quality Guarantees,conf/vldb/JagadishKMPSS98
1729,VLDB,1996,"Michael D. Soo, Richard T. Snodgrass, Michael H. B�hlen",Coalescing in Temporal Databases,conf/vldb/BohlenSS96
1730,SIGMOD Conference,1996,"Abraham Silberschatz, Rajeev Rastogi, Banu �zden, Prashant J. Shenoy",Fault-tolerant Architectures for Continuous Media Servers,conf/sigmod/OzdenRSS96
1731,VLDB J.,2002,"G�sli R. Hjaltason, Hanan Samet",Speeding up construction of PMR quadtree-based spatial indexes,journals/vldb/HjaltasonS02
1732,SIGMOD Record,1996,Jennifer Widom,Editor's Notes,journals/sigmod/Widom96
1733,SIGMOD Record,2000,"Jianwen Su, Guozhu Dong",Incremental Maintenance of Recursive Views Using Relational Calculus/SQL,journals/sigmod/DongS00
1734,VLDB,2002,"Sam Lightstone, Guy M. Lohman",SMART: Making DB2 (More) Autonomic,conf/vldb/LohmanL02
1735,VLDB,2002,"Gerhard K�stler, Werner Kie�ling","Preference SQL - Design, Implementation, Experiences",conf/vldb/KiesslingK02
1736,SIGMOD Record,2002,"Mark Girolami, Fabio Crestani",Report on the 24th European Colloquium on Information Retrieval Research,journals/sigmod/CrestaniG02
1737,VLDB,1999,"Beng Chin Ooi, Kian-Lee Tan, Cheng Hian Goh",Online Feedback for Nested Aggregate Queries with Multi-Threading,conf/vldb/TanGO99
1738,VLDB,2001,"Aoying Zhou, Wenyun Ji, Shihui Zheng, Hongjun Lu, Yuqi Liang, Zengping Tian, Long Zhang",VXMLR: A Visual XML-Relational Database System,conf/vldb/ZhouLZLZJT01
1739,SIGMOD Record,2001,"Carlo Zaniolo, Vassilis J. Tsotras, Shu-Yao Chien",XML Document Versioning,journals/sigmod/ChienTZ01
1740,SIGMOD Conference,1998,"Michael J. Franklin, Stanley B. Zdonik",Data In Your Face: Push Technology in Perspective,conf/sigmod/FranklinZ98
1741,SIGMOD Conference,2000,"S. Sudarshan, Rajeev Rastogi, S. Seshadri, Mohana Krishna Lakhamraju",On-line Reorganization in Object Databases,conf/sigmod/LakhamrajuRSS00
1742,VLDB,2003,"Ning An, Siva Ravada, Kothuri Venkata Ravi Kanth",Improving Performance with Bulk-Inserts in Oracle R-Trees,conf/vldb/AnKR03
1743,SIGMOD Conference,1999,"Joel L. Wolf, Charu C. Aggarwal, Philip S. Yu",A New Method for Similarity Indexing of Market Basket Data,conf/sigmod/AggarwalWY99
1744,SIGMOD Conference,2001,"H. V. Jagadish, Kian-Lee Tan, Hui Jin, Beng Chin Ooi",Global Optimization of Histograms,conf/sigmod/JagadishJOT01
1745,SIGMOD Record,1997,"Paolo Merialdo, Giansalvatore Mecca, Paolo Atzeni",Semistructured und Structured Data in the Web: Going Back and Forth,journals/sigmod/AtzeniMM97
1746,VLDB,1995,"Tak W. Yan, Hector Garcia-Molina",Duplicate Removal in Information System Dissemination,conf/vldb/YanG95
1747,VLDB J.,2001,"Rachel Pottinger, Alon Y. Halevy",MiniCon: A scalable algorithm for answering queries using views,journals/vldb/PottingerH01
1748,VLDB,1994,"S.-K. Kim, Eman Anwar, Sharma Chakravarthy, V. Krishnaprasad","Composite Events for Active Databases: Semantics, Contexts and Detection",conf/vldb/ChakravarthyKAK94
1749,SIGMOD Conference,1998,James Chong,Real Business Processing Meets the Web,conf/sigmod/Chong98
1750,SIGMOD Record,1997,"Nenad Jukic, Susan V. Vrbsky",Asserting Beliefs in MLS Relational Models,journals/sigmod/JukicV97
1751,VLDB J.,2000,"David Shutt, Philip A. Bernstein, Shankar Pal",Context-based prefetch - an optimization for implementing objects on relations,journals/vldb/BernsteinPS00
1752,VLDB J.,1998,"Peter M. Chen, Wee Teck Ng",Integrating Reliable Memory in Databases,journals/vldb/NgC98
1753,VLDB J.,1994,Ralf Hartmut G�ting,An Introduction to Spatial Database Systems,journals/vldb/Guting94
1754,SIGMOD Conference,2003,"Nathan Folkert, Abhinav Gupta, Andrew Witkowski, Lei Sheng, Sankar Subramanian, Srikanth Bellamkonda, Gregory Dorman, Tolga Bozkaya",Spreadsheets in RDBMS for OLAP,conf/sigmod/WitkowskiBBDFGSS03
1755,ACM Trans. Database Syst.,2000,Barbara Staudt Lerner,A model for compound type changes encountered in schema evolution,journals/tods/Lerner00
1756,SIGMOD Conference,2002,"Jordan Parker, Jesse Anton, Zheng Zeng, Lawrence Jacobs, Tie Zhong, Xiang Liu",Web caching for database applications with Oracle Web Cache,conf/sigmod/AntonJLPZZ02
1757,VLDB,1995,"Paul Ammann, Indrakshi Ray, Sushil Jajodia",Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,conf/vldb/AmmannJR95
1758,SIGMOD Conference,2002,"Jian Pei, Guozhu Dong, Ke Wang, Jiawei Han, Jianyong Wang",CubeExplorer: online exploration of data cubes,conf/sigmod/HanWDPW02
1759,VLDB J.,2001,"Gottfried Vossen, Jens Lechtenb�rger, Dominique Laurent, Nicolas Spyratos",Monotonic complements for independent data warehouses,journals/vldb/LaurentLSV01
1760,VLDB,2000,"Farnoush Banaei Kashani, Jabed Faruque, Adil Faisal, Cyrus Shahabi",INSITE: A Tool for Interpreting Users? Interaction with a Web Space,conf/vldb/ShahabiFKF00
1761,SIGMOD Record,2000,Z. Meral �zsoyoglu,Vice Chair's Message,journals/sigmod/Ozsoyoglu00
1762,SIGMOD Conference,1998,Sherri Kennamer,Microsoft.com: A High-Scale Data Management and Transaction Processing Solution,conf/sigmod/Kennamer98
1763,SIGMOD Conference,1995,Fox Development Team,"Object-Oriented, Rapid Application Development in a PC Database Environment",conf/sigmod/Team95
1764,VLDB,1994,Stefano Spaccapietra,User Interfaces; Who Cares?,conf/vldb/Spaccapietra94
1765,SIGMOD Conference,1998,"Johannes Gehrke, Rakesh Agrawal, Dimitrios Gunopulos, Prabhakar Raghavan",Automatic Subspace Clustering of High Dimensional Data for Data Mining Applications,conf/sigmod/AgrawalGGR98
1766,VLDB,1998,Sumit Ganguly,Design and Analysis of Parametric Query Optimization Algorithms,conf/vldb/Ganguly98
1767,SIGMOD Conference,2003,"Yunyue Zhu, Xiaojian Zhao, Dennis Shasha",Query by Humming - in Action with its Technology Revealed,conf/sigmod/ZhuSZ03
1768,SIGMOD Record,1994,"Martin Wechsler, Ulrike Glavitsch, Peter Sch�uble",Metadata for Integrating Speech Documents in a Text Retrieval System,journals/sigmod/GlavitschSW94
1769,SIGMOD Conference,2002,"Peter J. Haas, Jeffrey F. Naughton, Gang Luo, Curt Ellmann",A scalable hash ripple join algorithm,conf/sigmod/LuoEHN02
1770,SIGMOD Record,1995,"Timos K. Sellis, Yannis Vassiliou",The Database Group at National Technical University of Athens (NTUA),journals/sigmod/SellisV95
1771,VLDB,2002,"Rakesh Agrawal, Jerry Kiernan",Watermarking Relational Databases,conf/vldb/AgrawalK02
1772,VLDB J.,1996,"Stanley Y. W. Su, Javier Arroyo, Herman Lam, Yuh-Ming Shyy",The Design and Implementation of K: A High-Level Knowledge-Base Programming Language of OSAM*.KBMS,journals/vldb/ShyyASL96
1773,SIGMOD Conference,2002,"Beng Chin Ooi, Dimitris Papadias, Kian-Lee Tan, Wee Siong Ng, Panos Kalnis",An adaptive peer-to-peer network for distributed caching of OLAP results,conf/sigmod/KalnisNOPT02
1774,VLDB,2000,"Jonathan Goldstein, Raghu Ramakrishnan",Contrast Plots and P-Sphere Trees: Space vs. Time in Nearest Neighbour Searches,conf/vldb/GoldsteinR00
1775,VLDB,2000,"Haixun Wang, Carlo Zaniolo",Using SQL to Build New Aggregates and Extenders for Object- Relational Systems,conf/vldb/WangZ00
1776,SIGMOD Conference,2000,"Hua Zhu, Kan Hu, Jian Pei, Runying Mao",Towards Data Mining Benchmarking: A Testbed for Performance Study of Frequent Pattern Mining,conf/sigmod/PeiMHZ00
1777,SIGMOD Conference,2000,"S. Muthukrishnan, Flip Korn",Influence Sets Based on Reverse Nearest Neighbor Queries,conf/sigmod/KornM00
1778,ACM Trans. Database Syst.,1997,"Heikki Mannila, Thomas Eiter, Georg Gottlob",Disjunctive Datalog,journals/tods/EiterGM97
1779,VLDB J.,1999,"Leana Golubchik, Kelvin Kwok-Wai Law, John C. S. Lui",Efficient Support for Interactive Service in Multi-Resolution VOD Systems,journals/vldb/LawLG99
1780,VLDB,2003,"C�sar A. Galindo-Legaria, Ming-Chuan Wu, Milind Joshi, Florian Waas",Statistics on Views,conf/vldb/Galindo-LegariaJWW03
1781,VLDB,1999,"Arnaud Sahuguet, Fabien Azavant",Building Light-Weight Wrappers for Legacy Web Data-Sources Using W4F,conf/vldb/SahuguetA99
1782,VLDB,1997,"Divesh Srivastava, Kenneth A. Ross",Fast Computation of Sparse Datacubes,conf/vldb/RossS97
1783,SIGMOD Conference,2003,"Omar Benjelloun, Tova Milo, Serge Abiteboul, Frederic Dang Ngoc, Bernd Amann",Exchanging Intensional XML Data,conf/sigmod/MiloAABN03
1784,SIGMOD Conference,1996,"Divesh Srivastava, S. Sudarshan, Kenneth A. Ross",Materialized View Maintenance and Integrity Constraint Checking: Trading Space for Time,conf/sigmod/RossSS96
1785,VLDB,2002,"Kam-yiu Lam, Krithi Ramamritham, Alan Kwan",RTMonitor: Real-Time Data Monitoring Using Mobile Agent Technologies,conf/vldb/LamKR02
1786,SIGMOD Record,1999,"Jim Melton, Andrew Eisenberg","SQL: 1999, formerly known as SQL 3",journals/sigmod/EisenbergM99
1787,SIGMOD Conference,1994,"Sophie Cluet, Michel Scholl, Serge Abiteboul, Vassilis Christophides",From Structured Documents to Novel Query Facilities,conf/sigmod/ChristophidesACS94
1788,VLDB,2003,"Walid G. Aref, Ahmed K. Elmagarmid, Ihab F. Ilyas",Supporting Top-k Join Queries in Relational Databases,conf/vldb/IlyasAE03
1789,VLDB,2001,"Michael Mlivoncic, Roger Weber, Klemens B�hm, Hans-J�rg Schek",Fast Evaluation Techniques for Complex Similarity Queries,conf/vldb/BohmMSW01
1790,SIGMOD Conference,2002,"Gautam Das, Sanjay Agrawal, Surajit Chaudhuri",DBXplorer: enabling keyword search over relational databases,conf/sigmod/AgrawalCD02
1791,SIGMOD Conference,1999,"Aiqun Du, James P. Callan, Margaret E. Connell",Automatic Discovery of Language Models for Text Databases,conf/sigmod/CallanCD99
1792,VLDB J.,2002,"Vincent Aguilera, Dan Vodislav, Pierangelo Veltri, Sophie Cluet, Tova Milo",Views in a large-scale XML repository,journals/vldb/AguileraCMVV02
1793,SIGMOD Conference,2003,Felipe Cabrera,The Future of Web services - II,conf/sigmod/Cabrera03
1794,SIGMOD Conference,2003,"Chu Yee Liau, Aoying Zhou, Wee Siong Ng, Ming Zhang, Bo Ling, Chin Hong Goh, Yanfeng Shu, Kian-Lee Tan, Yingguang Li, Xiaoyu Wang, Beng Chin Ooi",PeerDB: Peering into Personal Databases,conf/sigmod/OoiTZGLLLNSWZ03
1795,VLDB,1996,Fr�d�ric Cuppens,Querying a Multilevel Database: A Logical Analysis,conf/vldb/Cuppens96
1796,VLDB,1999,"Arnd Christian K�nig, Gerhard Weikum",Combining Histograms and Parametric Curve Fitting for Feedback-Driven Query Result-size Estimation,conf/vldb/KonigW99
1797,SIGMOD Conference,2002,"Hakan Hacig�m�s, Chen Li, Sharad Mehrotra, Balakrishna R. Iyer",Executing SQL over encrypted data in the database-service-provider model,conf/sigmod/HacigumusILM02
1798,VLDB J.,2003,"Jun Yang, Jennifer Widom",Incremental computation and maintenance of temporal aggregates,journals/vldb/YangW03
1799,SIGMOD Conference,1996,"Richard Hull, Mohammed Rupawalla, Michael Doherty",Structures for Manipulating Proposed Updates in Object-Oriented Databases,conf/sigmod/DohertyHR96
1800,SIGMOD Conference,2003,Narayanan Shivakumar,Google in a Box - Building the Google Search Appliance,conf/sigmod/Shivakumar03
1801,SIGMOD Conference,1994,Carrie Ballinger,Evolving Teradata Decision Support for Massively Parallel Processing with UNIX,conf/sigmod/Ballinger94
1802,VLDB J.,1994,"Werner Strau�, Gerhard D�nzinger, Werner Kie�ling, Helmut Schmidt",DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,journals/vldb/KieslingSSD94
